
🌿 KisanBazaar server running at http://localhost:8080
💳 Razorpay: ⚠️  Keys not set — add them to .env

  To configure Razorpay:
  1. Go to https://dashboard.razorpay.com → Test Mode → Settings → API Keys
  2. Edit kisanbazaar/.env and replace the placeholder values
  3. Restart the server: node server.js

[2026-03-29T18:21:09.019Z] GET /images/popular_banner_v2.png
[2026-03-29T18:21:09.054Z] GET /api/products
[2026-03-29T18:21:09.090Z] GET /favicon.ico
[2026-03-29T18:21:09.108Z] GET /images/products/bell_pepper_yellow_real.png
[2026-03-29T18:21:09.116Z] GET /images/products/ragi_1773599981126.png
[2026-03-29T18:21:09.117Z] GET /images/products/maize_1773600203331.png
[2026-03-29T18:21:09.118Z] GET /images/products/basmati-rice.png
[2026-03-29T18:21:09.124Z] GET /images/products/moong-dal.png
[2026-03-29T18:21:09.126Z] GET /images/products/carrot_real.png
[2026-03-29T18:21:09.141Z] GET /images/products/cucumber.png
[2026-03-29T18:21:09.143Z] GET /images/products/bell_pepper_red_real.png
[2026-03-29T18:21:09.144Z] GET /images/products/cabbage_real.png
[2026-03-29T18:21:09.146Z] GET /images/products/broccoli_v2.png
[2026-03-29T18:21:09.146Z] GET /images/products/potatoes.png
[2026-03-29T18:21:09.146Z] GET /images/products/beetroot_real.png
[2026-03-29T18:21:09.151Z] GET /images/products/garlic.png
[2026-03-29T18:21:09.156Z] GET /images/products/ginger.png
[2026-03-29T18:21:09.157Z] GET /images/products/onions.png
[2026-03-29T18:21:09.160Z] GET /images/products/tomatoes.png
[2026-03-29T18:21:09.162Z] GET /images/products/spinach.png
[2026-03-29T18:21:09.163Z] GET /images/products/cauliflower.png
[2026-03-29T18:21:09.167Z] GET /images/products/green-peas.png
[2026-03-29T18:21:09.170Z] GET /images/products/french_beans_1773600471628.png
[2026-03-29T18:21:09.174Z] GET /images/products/radish_1773600558714.png
[2026-03-29T18:21:09.177Z] GET /images/products/green-chillies.png
[2026-03-29T18:21:09.183Z] GET /images/products/bitter_gourd_real.png
[2026-03-29T18:21:09.187Z] GET /images/products/ridge_gourd_real.png
[2026-03-29T18:21:09.187Z] GET /images/products/pumpkin_real.png
[2026-03-29T18:21:09.200Z] GET /images/products/drumstick_real.png
[2026-03-29T18:21:09.201Z] GET /images/products/capsicum_real.png
[2026-03-29T18:21:09.201Z] GET /images/products/apple.png
[2026-03-29T18:21:09.202Z] GET /images/products/banana_robusta_real.png
[2026-03-29T18:21:09.206Z] GET /images/products/orange.png
[2026-03-29T18:21:09.209Z] GET /images/products/pomegranate_real.png
[2026-03-29T18:21:09.212Z] GET /images/products/papaya_real.png
[2026-03-29T18:21:09.216Z] GET /images/products/guava_real.png
[2026-03-29T18:21:09.218Z] GET /images/products/custard_apple_real.png
[2026-03-29T18:21:09.218Z] GET /images/products/watermelon_1773599596616.png
[2026-03-29T18:21:09.219Z] GET /images/products/muskmelon_1773599617680.png
[2026-03-29T18:21:09.223Z] GET /images/products/strawberry_1773599656220.png
[2026-03-29T18:21:09.227Z] GET /images/products/pineapple_1773599691785.png
[2026-03-29T18:21:09.228Z] GET /images/products/kiwi_1773600112964.png
